archivo,linea,motivo
studio/AuraStudio/Sources/AuraStudio/Views/ContentView.swift,857,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/ContentView.swift,562,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/ContentView.swift,171,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/ContentView.swift,168,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/LibraryUnavailableView.swift,40,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/MusicSettingsView.swift,84,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,278,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,273,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,270,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,258,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,257,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,242,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,239,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,236,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,198,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,177,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,171,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,170,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,111,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,104,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,101,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,89,no coincide el texto
studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,88,no coincide el texto
