clave_propuesta,archivo,linea,tipo,texto_original,texto_con_marcadores,tiene_interpolacion,duplicado_de_n_sitios
album-cover-picker-view.album,studio/AuraStudio/Sources/AuraStudio/Views/AlbumCoverPickerView.swift,64,Text,Álbum \(queuePosition.index) de \(queuePosition.total),Álbum %@ de %@,sí,
album-cover-picker-view.buscando-caratulas-cover-art-archive-dee,studio/AuraStudio/Sources/AuraStudio/Views/AlbumCoverPickerView.swift,81,Text,Buscando carátulas en Cover Art Archive y Deezer...,Buscando carátulas en Cover Art Archive y Deezer...,no,
album-cover-picker-view.caratulas-para,studio/AuraStudio/Sources/AuraStudio/Views/AlbumCoverPickerView.swift,68,Text,Carátulas para «\(request.albumTitle)»,Carátulas para «%@»,sí,
album-cover-picker-view.deja-este-album-como-esta-pasa,studio/AuraStudio/Sources/AuraStudio/Views/AlbumCoverPickerView.swift,155,.help,Deja este álbum como está y pasa al siguiente de la lista,Deja este álbum como está y pasa al siguiente de la lista,no,
album-cover-picker-view.no-se-encontraron-caratulas-para-este,studio/AuraStudio/Sources/AuraStudio/Views/AlbumCoverPickerView.swift,92,Text,No se encontraron carátulas para este álbum.,No se encontraron carátulas para este álbum.,no,
album-cover-picker-view.omitir-este-album,studio/AuraStudio/Sources/AuraStudio/Views/AlbumCoverPickerView.swift,154,Button,Omitir este álbum,Omitir este álbum,no,
album-cover-picker-view.recomendada,studio/AuraStudio/Sources/AuraStudio/Views/AlbumCoverPickerView.swift,119,Text,Recomendada,Recomendada,no,
album-cover-picker-view.revisa-que-titulo-artista-album-esten,studio/AuraStudio/Sources/AuraStudio/Views/AlbumCoverPickerView.swift,94,Text,Revisa que el título y el artista del álbum estén bien escritos; también puedes activar Deezer en Ajustes › Servicios para tener más resultados.,Revisa que el título y el artista del álbum estén bien escritos; también puedes activar Deezer en Ajustes › Servicios para tener más resultados.,no,
album-cover-picker-view.usar-esta-caratula,studio/AuraStudio/Sources/AuraStudio/Views/AlbumCoverPickerView.swift,160,Button,Usar esta carátula,Usar esta carátula,no,
album-cover-picker-view.usar-recomendada,studio/AuraStudio/Sources/AuraStudio/Views/AlbumCoverPickerView.swift,158,Button,Usar recomendada,Usar recomendada,no,
albums-view.abrir,studio/AuraStudio/Sources/AuraStudio/Views/AlbumsView.swift,571,Button,Abrir,Abrir,no,4
albums-view.abrir,studio/AuraStudio/Sources/AuraStudio/Views/MoviesView.swift,423,Button,Abrir,Abrir,no,4
albums-view.abrir,studio/AuraStudio/Sources/AuraStudio/Views/PhotoAlbumsView.swift,380,Button,Abrir,Abrir,no,4
albums-view.abrir,studio/AuraStudio/Sources/AuraStudio/Views/SeriesView.swift,491,Button,Abrir,Abrir,no,4
albums-view.albumes,studio/AuraStudio/Sources/AuraStudio/Views/AlbumsView.swift,140,.navigationTitle,Álbumes,Álbumes,no,2
albums-view.albumes,studio/AuraStudio/Sources/AuraStudio/Views/AlbumsView.swift,488,Label,Álbumes,Álbumes,no,2
albums-view.aplica-sin-preguntar-caratula-que-supere,studio/AuraStudio/Sources/AuraStudio/Views/AlbumsView.swift,596,.help,"Aplica sin preguntar la carátula que supere el umbral de confianza en cada álbum; los que no tengan una opción segura los eliges tú, uno por uno","Aplica sin preguntar la carátula que supere el umbral de confianza en cada álbum; los que no tengan una opción segura los eliges tú, uno por uno",no,2
