id,clave
c001,app-strings.bootloader-update-awaiting-reboot
c002,app-strings.bootloader-update-continue
c003,app-strings.bootloader-update-done-detail
c004,app-strings.bootloader-update-done-title
c005,app-strings.bootloader-update-enter-dfu-when
c006,app-strings.bootloader-update-flash-confirm
c007,app-strings.bootloader-update-flashing-1
c008,app-strings.bootloader-update-flashing-2
c009,app-strings.bootloader-update-no-password
c010,app-strings.bootloader-update-not-required
c011,app-strings.bootloader-update-nothing-touched
c012,app-strings.bootloader-update-offer
c013,app-strings.bootloader-update-offer-different
c014,app-strings.bootloader-update-offer-unknown
c015,app-strings.bootloader-update-title
c016,app-strings.bootloader-update-what-it-is
c017,app-strings.bootloader-update-why-dfu
c018,app-strings.delete-confirm-copy.one
c019,app-strings.delete-confirm-copy.other
c020,app-strings.delete-confirm-reference.one
c021,app-strings.delete-confirm-reference.other
c022,app-strings.delete-confirm-title.one
c023,app-strings.delete-confirm-title.other
c024,app-strings.dfu-driver-heading
c025,app-strings.dfu-driver-installed-no-device
c026,app-strings.dfu-driver-missing
c027,app-strings.dfu-driver-package-missing
c028,app-strings.dfu-driver-ready
c029,app-strings.dfu-driver-unknown
c030,app-strings.installer-already-writing
c031,app-strings.installer-artifacts-invalid
c032,app-strings.installer-awaiting-reboot
c033,app-strings.installer-begin
c034,app-strings.installer-cancelled
c035,app-strings.installer-copied-files.one
c036,app-strings.installer-copied-files.other
c037,app-strings.installer-copy-failed
c038,app-strings.installer-copy-files
c039,app-strings.installer-copying-title
c040,app-strings.installer-detect-detail
c041,app-strings.installer-detect-title
c042,app-strings.installer-dfu-detected-detail
c043,app-strings.installer-dfu-detected-dismiss
c044,app-strings.installer-dfu-detected-install
c045,app-strings.installer-dfu-detected-title
c046,app-strings.installer-dfu-found-1
c047,app-strings.installer-dfu-found-2
c048,app-strings.installer-dfu-guide-link
c049,app-strings.installer-dfu-guide-url
c050,app-strings.installer-dfu-no-families
c051,app-strings.installer-dfu-not-found
c052,app-strings.installer-dfu-not-seen-by-windows
c053,app-strings.installer-dfu-step1
c054,app-strings.installer-dfu-step2
c055,app-strings.installer-dfu-step3
c056,app-strings.installer-dfu-step4
c057,app-strings.installer-dfu-timing-warning
c058,app-strings.installer-dfu-unreadable
c059,app-strings.installer-dfu-waiting
c060,app-strings.installer-done-detail
c061,app-strings.installer-done-title
c062,app-strings.installer-dry-run
c063,app-strings.installer-dry-run-heading
c064,app-strings.installer-dry-run-ok
c065,app-strings.installer-dry-run-running
c066,app-strings.installer-enter-dfu-title
c067,app-strings.installer-enter-dfu-when
c068,app-strings.installer-failed-title
c069,app-strings.installer-family-change
c070,app-strings.installer-family-label
c071,app-strings.installer-flash
c072,app-strings.installer-flash-confirm
c073,app-strings.installer-flash-failed
c074,app-strings.installer-flash-needs-confirmation
c075,app-strings.installer-flashing
c076,app-strings.installer-format-confirm
c077,app-strings.installer-format-danger-detail
c078,app-strings.installer-format-danger-heading
c079,app-strings.installer-format-needs-confirmation
c080,app-strings.installer-format-needs-dry-run
c081,app-strings.installer-format-now-on
c082,app-strings.installer-format-running
c083,app-strings.installer-needs-mounted-volume
c084,app-strings.installer-no-device
c085,app-strings.installer-permissions-continue
c086,app-strings.installer-permissions-detail
c087,app-strings.installer-permissions-title
c088,app-strings.installer-prepare-disk
c089,app-strings.installer-privileged-log-heading
c090,app-strings.installer-rebooted
c091,app-strings.installer-restart
c092,app-strings.installer-safety-abort
c093,app-strings.installer-scan-dfu
c094,app-strings.installer-scanning-dfu
c095,app-strings.installer-stuck-in-dfu
c096,app-strings.installer-subtitle
c097,app-strings.installer-title
c098,app-strings.installer-unknown-disk
c099,app-strings.installer-welcome-detail
c100,app-strings.installer-welcome-title
c101,app-strings.installer-welcome-warning
c102,app-strings.orphans-cleaned.one
c103,app-strings.orphans-cleaned.other
c104,app-strings.orphans-confirm-title.one
c105,app-strings.orphans-confirm-title.other
c106,app-strings.orphans-found.one
c107,app-strings.orphans-found.other
c108,context-menu.eliminar
c109,context-menu.eliminar-2
c110,context-menu.eliminar-3
c111,context-menu.eliminar-album
c112,context-menu.eliminar-albumes
c113,context-menu.eliminar-artista
c114,context-menu.eliminar-artistas
c115,context-menu.eliminar-biblioteca
c116,context-menu.eliminar-caratula
c117,context-menu.eliminar-episodio
c118,context-menu.eliminar-episodios
c119,context-menu.eliminar-fotos-biblioteca
c120,context-menu.eliminar-pelicula
c121,context-menu.eliminar-peliculas
c122,context-menu.eliminar-serie
c123,context-menu.eliminar-series
c124,context-menu.quitar-album
c125,context-menu.quitar-favorito
c126,context-menu.quitar-favoritos
c127,context-menu.quitar-favoritos-2
c128,context-menu.quitar-foto-artista.one
c129,context-menu.quitar-foto-artista.other
