id,clave
e001,dfu-flash.tool-start-failed
e002,disk-abort.beyond-mbr
e003,disk-abort.fat32-layout
e004,disk-abort.gone
e005,disk-abort.model-changed
e006,disk-abort.no-media
e007,disk-abort.not-usb
e008,disk-abort.requery-failed
e009,disk-abort.size-changed
e010,disk-abort.write-failed
e011,firmware-artifacts.missing-directory
e012,firmware-artifacts.tool-unverifiable
e013,firmware-switcher.already-active
e014,firmware-switcher.dormant-missing
e015,firmware-switcher.failed
e016,firmware-switcher.not-switchable
e017,firmware-tree.copy-interrupted
e018,firmware-tree.copying
e019,firmware-tree.falling-back-to-full
e020,firmware-tree.files-to-delete.one
e021,firmware-tree.files-to-delete.other
e022,firmware-tree.files-to-write.one
e023,firmware-tree.files-to-write.other
e024,firmware-tree.installing
e025,firmware-tree.parking
e026,firmware-tree.updating
e027,firmware-tree.verifying
e028,storage-breakdown.usage-line
